true,pred,probs,n_preds,entropy,alleotoric_entropy,info_gain
2,25,0.75114363,2,0.6697148,0.35405856,0.31565624
32,32,0.966766,1,0.20743066,0.15576509,0.051665574
24,24,0.5257808,3,1.364273,0.86188525,0.5023877
34,34,0.9670348,1,0.17932068,0.12733586,0.051984817
4,4,0.99910605,1,0.0078010503,0.006458699,0.0013423515
24,25,0.4738547,4,1.7186018,1.0095901,0.7090117
22,22,0.9804064,1,0.11743987,0.091110654,0.02632922
19,19,0.99997705,1,0.00029649743,0.00024911822,4.7379202e-05
4,4,0.98652834,1,0.07612598,0.057157617,0.018968362
4,4,0.9994492,1,0.004718519,0.003913328,0.00080519076
2,25,0.40108585,5,1.9407578,1.2619002,0.67885756
13,13,0.6985113,3,0.9289953,0.30860436,0.62039095
24,24,0.98155814,1,0.12450015,0.09853931,0.02596084
24,24,0.9998644,1,0.0015691783,0.0013342642,0.00023491413
24,24,0.89410704,1,0.34468943,0.26672515,0.077964276
2,2,0.99992937,1,0.0008522381,0.00069810625,0.00015413185
24,24,0.98808163,1,0.066322654,0.039156616,0.027166039
11,2,0.18775351,5,2.713487,2.4585457,0.25494123
29,10,0.93679804,1,0.39186224,0.2950979,0.096764356
24,24,0.8069773,2,0.69216555,0.31313342,0.37903214
26,26,0.59346265,3,1.4280679,0.7577641,0.6703038
13,13,0.99842566,1,0.013764867,0.011792133,0.001972734
2,2,0.9967105,1,0.025459113,0.019843604,0.005615508
22,32,0.3131721,4,1.6786654,0.88311434,0.79555106
4,4,0.9994904,1,0.005019936,0.0040000514,0.0010198844
0,32,0.66801476,2,1.0535117,0.7615839,0.2919278
27,27,0.8480471,2,0.5986901,0.41494957,0.18374053
6,6,0.96782655,1,0.16645351,0.12010672,0.04634679
28,28,0.9829487,1,0.120327175,0.09889729,0.021429881
2,2,0.9997288,1,0.00277549,0.002293241,0.00048224907
25,25,0.99981827,1,0.0019900694,0.0017377451,0.00025232427
19,19,0.9998383,1,0.0018662193,0.0016400575,0.00022616179
28,28,0.9994654,1,0.005507076,0.004490497,0.0010165791
24,24,0.99993306,1,0.00077878474,0.0006452149,0.00013356982
13,13,0.9982037,1,0.0148917725,0.01164015,0.0032516224
27,27,0.9950797,1,0.035864405,0.027703574,0.008160831
32,32,0.99817276,1,0.017413348,0.014256137,0.0031572105
19,19,0.7458016,2,0.6543543,0.4606676,0.19368666
22,22,0.9441948,1,0.29550084,0.21313763,0.08236322
24,24,0.9998087,1,0.0021162743,0.0017111184,0.00040515594
32,29,0.5348925,3,1.8296568,1.279671,0.5499859
24,6,0.71425134,3,0.9059442,0.35110998,0.55483425
0,32,0.5765555,4,1.5880868,0.85371065,0.7343762
29,29,0.9999353,1,0.0007482528,0.0006053819,0.00014287088
16,10,0.24928012,4,2.218238,1.4288154,0.78942275
32,32,0.85141516,2,0.621772,0.42929587,0.19247612
2,2,0.9997994,1,0.0022124397,0.0017966538,0.00041578582
24,2,0.48495504,3,1.2258804,0.46333784,0.76254255
4,4,0.9963371,1,0.029697286,0.02329135,0.0064059366
24,24,0.9981472,1,0.016745172,0.013835102,0.0029100701
2,2,0.80481035,1,0.7477471,0.55769575,0.19005138
32,32,0.7585106,2,0.94614893,0.60616267,0.33998626
4,4,0.99430865,1,0.038615614,0.031666726,0.0069488883
2,2,0.9999985,1,2.391753e-05,2.0293857e-05,3.6236725e-06
26,4,0.63980305,3,1.0416368,0.6463158,0.395321
3,3,0.35638365,4,2.051123,1.284508,0.7666149
2,2,0.997327,1,0.023450857,0.019060481,0.0043903757
2,2,0.9982954,1,0.014052949,0.010345422,0.0037075272
6,2,0.51649797,2,0.7245721,0.30587274,0.41869938
2,2,0.68207115,3,0.9042011,0.46243113,0.44176996
26,24,0.8392145,2,0.5691891,0.24837701,0.32081205
6,6,0.96639484,1,0.14849785,0.08963706,0.058860786
2,2,0.99502563,1,0.03654834,0.03009468,0.0064536594
32,32,0.43475175,4,1.7550807,1.1199543,0.63512635
4,4,0.99931777,1,0.0062982943,0.0053703035,0.00092799077
2,2,0.9847023,1,0.11371261,0.086508915,0.027203694
13,13,0.99999934,1,1.0865891e-05,9.731599e-06,1.1342927e-06
28,28,0.9961937,1,0.032050394,0.025812736,0.0062376577
29,29,0.99978584,1,0.002335047,0.0019749028,0.00036014407
24,15,0.3894511,2,1.4749134,0.9150919,0.5598215
12,12,0.9987089,1,0.011727485,0.009608735,0.0021187495
32,32,0.84555143,2,0.6451808,0.4267749,0.21840593
15,15,0.76111466,3,1.0898439,0.6291541,0.46068978
1,1,0.99998,1,0.000260993,0.00022855001,3.2442986e-05
4,4,0.9994443,1,0.0047687837,0.004033276,0.0007355078
29,29,0.99953365,1,0.0042520864,0.0033033309,0.00094875554
26,26,0.9829707,1,0.120860994,0.094759874,0.02610112
28,28,0.99979717,1,0.0021359513,0.0018173128,0.00031863851
2,2,0.94164336,1,0.3367693,0.24883313,0.08793618
14,26,0.20417045,6,2.2508276,1.140558,1.1102695
2,2,0.9999613,1,0.0005258462,0.00045172256,7.412364e-05
4,4,0.9998766,1,0.0013951398,0.0012022501,0.00019288971
26,26,0.99757165,1,0.020936323,0.01598434,0.0049519837
28,28,0.533573,2,0.7432827,0.22092164,0.52236104
24,24,0.41200456,3,1.1328832,0.28449732,0.8483859
1,1,0.61148226,2,0.94912034,0.506642,0.44247836
12,12,0.8239654,3,0.6295996,0.36228198,0.2673176
1,1,0.99960387,1,0.004333165,0.0036989464,0.00063421857
4,4,0.9894638,1,0.06172049,0.039488327,0.022232164
26,26,0.6961486,2,0.6459865,0.21370892,0.43227756
4,4,0.9985923,1,0.0128007755,0.010368724,0.002432051
24,24,0.46870857,3,1.4179584,0.83675814,0.58120024
26,26,0.97664464,1,0.14042771,0.098590456,0.041837253
24,24,0.8166521,2,0.54078716,0.31863183,0.22215533
24,24,0.9101104,1,0.48634124,0.36707193,0.11926931
26,26,0.9902708,1,0.07317824,0.058722176,0.0144560635
19,19,0.7375719,3,0.88912785,0.46613717,0.42299068
32,32,0.9727804,1,0.19883478,0.1588051,0.040029675
25,25,0.82121223,2,0.5533262,0.3328392,0.220487
4,4,0.9971207,1,0.022757387,0.017777625,0.0049797613
2,2,0.9989807,1,0.009585553,0.0079879,0.0015976531
24,24,0.9877324,1,0.08475018,0.068890445,0.015859738
16,16,0.7377039,2,0.9171549,0.46865186,0.44850305
13,13,0.9994527,1,0.004700411,0.0034761126,0.0012242985
4,8,0.65282786,4,1.0721581,0.322267,0.7498911
36,36,0.2885342,6,1.9767282,1.1472967,0.82943153
25,25,0.8198153,3,0.70752686,0.29448906,0.4130378
24,24,0.95290816,1,0.25779647,0.15080027,0.10699619
28,28,0.99894476,1,0.01032448,0.008697279,0.0016272012
4,4,0.99990237,1,0.0011249799,0.00096543727,0.00015954266
4,4,0.9990568,1,0.0078024413,0.0065161935,0.0012862477
1,28,0.65018696,1,1.5684632,1.1641968,0.40426636
28,28,0.99956113,1,0.004825797,0.00408963,0.0007361667
29,31,0.39157048,4,1.7175572,0.7611927,0.9563645
19,19,0.9982266,1,0.016518263,0.014036728,0.002481535
2,2,0.9999936,1,9.3905546e-05,8.204441e-05,1.1861135e-05
11,11,0.95110434,1,0.22152708,0.09993711,0.12158997
28,28,0.99438316,1,0.0393732,0.030161008,0.009212192
28,28,0.999577,1,0.0046395413,0.003920083,0.00071945833
24,6,0.7992028,2,0.91538894,0.5832052,0.33218372
19,19,0.9875639,1,0.07066044,0.04403986,0.026620582
4,4,0.9999892,1,0.0001445251,0.0001264527,1.8072402e-05
2,2,0.9997967,1,0.0021663792,0.0018247424,0.00034163683
5,21,0.4937079,5,1.4525762,0.34884566,1.1037304
2,2,0.9966974,1,0.02457177,0.019296793,0.0052749775
25,25,0.99938387,1,0.0059441384,0.004993681,0.0009504575
15,32,0.36075327,4,1.5503923,0.9581841,0.59220815
23,23,0.9806368,1,0.1536523,0.12817003,0.025482267
4,6,0.5061114,3,1.1785727,0.51682866,0.661744
36,2,0.5221625,4,1.6662198,0.8452442,0.8209756
2,32,0.5225534,3,1.2281947,0.75246656,0.47572815
26,26,0.47599408,2,1.2171435,0.7820853,0.43505824
2,2,0.9924082,1,0.06000788,0.045999624,0.014008258
4,4,0.9111277,2,0.32638472,0.21262045,0.11376427
13,13,0.761002,3,0.7198321,0.4070316,0.31280053
4,4,0.99605507,1,0.028849998,0.02083759,0.008012408
4,4,0.9619447,1,0.20876354,0.15776029,0.051003247
24,24,0.999121,1,0.00866468,0.0071558976,0.0015087822
32,32,0.9925076,1,0.06282054,0.051704794,0.011115745
24,24,0.9988856,1,0.010032004,0.008034682,0.0019973218
28,28,0.9965906,1,0.029024854,0.023463348,0.0055615064
4,4,0.99999994,1,1.3189077e-06,1.2046296e-06,1.1427812e-07
4,4,0.5973545,2,0.82773757,0.29250264,0.5352349
15,24,0.39168635,4,1.8462725,1.0366025,0.80967
8,8,0.644406,2,0.884588,0.59228504,0.29230297
29,29,0.9998769,1,0.0013776369,0.0011806623,0.00019697461
24,24,0.99945134,1,0.0051231743,0.0042107613,0.000912413
32,31,0.41743603,4,1.7079556,1.090533,0.6174226
25,2,0.471985,4,1.8142294,1.122412,0.6918174
19,19,0.99999887,1,1.8134595e-05,1.6411734e-05,1.7228613e-06
24,24,0.9999296,1,0.0009033703,0.00077906996,0.00012430036
32,32,0.9464659,1,0.3453252,0.28402722,0.061297983
26,26,0.94059604,1,0.27148888,0.18523835,0.08625053
4,4,0.86513424,2,0.47453308,0.10356213,0.37097096
28,28,0.999893,1,0.0011675704,0.0010297591,0.0001378113
